chunk_index,start_sec,end_sec,prediction,confidence,rain_prob,car_prob
0,0.0,60.0,car,76.53,23.47,76.53
1,60.0,120.0,other,62.58,62.58,37.42
2,120.0,180.0,other,55.82,55.82,44.18
3,180.0,240.0,other,63.21,36.79,63.21
4,240.0,300.0,other,50.1,50.1,49.9
5,300.0,360.0,other,64.08,64.08,35.92
6,360.0,420.0,rain,70.84,70.84,29.16
7,420.0,480.0,other,56.9,56.9,43.1
8,480.0,540.0,other,51.04,51.04,48.96
9,540.0,600.0,other,54.42,54.42,45.58
10,600.0,660.0,car,67.9,32.1,67.9
11,660.0,720.0,car,69.25,30.75,69.25
12,720.0,780.0,other,52.19,47.81,52.19
13,780.0,840.0,car,78.06,21.94,78.06
14,840.0,900.0,other,62.94,37.06,62.94
